transit_date,station_complex,ridership
2022-02-09,Bedford Av (L),17962.0
2022-02-09,"Bowery (J,Z)",1826.0
2022-02-09,"Broad St (J,Z)",3298.0
2022-02-09,Bushwick Av-Aberdeen St (L),1609.0
2022-02-09,"Canal St (A,C,E)",9112.0
2022-02-09,Canarsie-Rockaway Pkwy (L),3372.0
2022-02-09,"Cathedral Pkwy (110 St) (C,B)",4581.0
2022-02-09,Central Av (M),2510.0
2022-02-09,Clinton-Washington Avs (C),4222.0
2022-02-09,DeKalb Av (L),7573.0
2022-02-09,Dyckman St (A),3865.0
2022-02-09,East 105 St (L),1966.0
2022-02-09,Forest Av (M),2957.0
2022-02-09,Fresh Pond Rd (M),4027.0
2022-02-09,Graham Av (L),5871.0
2022-02-09,Grand St (L),4796.0
2022-02-09,Halsey St (L),4627.0
2022-02-09,"Hewes St (M,J)",1860.0
2022-02-09,"High St (A,C)",5868.0
2022-02-09,"Hoyt-Schermerhorn Sts (A,C,G)",6566.0
2022-02-09,Inwood-207 St (A),5216.0
2022-02-09,Jefferson St (L),4484.0
2022-02-09,Kingston-Throop Avs (C),3964.0
2022-02-09,Knickerbocker Av (M),2703.0
2022-02-09,Lafayette Av (C),3319.0
2022-02-09,Livonia Av (L),1987.0
2022-02-09,"Marcy Av (M,J,Z)",7713.0
2022-02-09,Middle Village-Metropolitan Av (M),2922.0
2022-02-09,Montrose Av (L),4479.0
2022-02-09,Morgan Av (L),4403.0
2022-02-09,New Lots Av (L),2665.0
2022-02-09,"Nostrand Av (A,C)",10345.0
2022-02-09,Park Pl (S),1071.0
2022-02-09,"Prince St (R,W)",5267.0
2022-02-09,Seneca Av (M),1895.0
2022-02-09,"Spring St (C,E)",6413.0
2022-02-09,Sutter Av (L),1867.0
2022-02-09,"Utica Av (A,C)",1797.0
2022-02-09,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",21992.0
2022-02-09,Wilson Av (L),2821.0
2022-02-10,1 Av (L),16116.0
2022-02-10,"103 St (C,B)",2659.0
2022-02-10,"116 St (C,B)",4298.0
2022-02-10,"125 St (A,C,B,D)",16377.0
2022-02-10,"135 St (C,B)",3748.0
2022-02-10,"145 St (A,C,B,D)",15082.0
2022-02-10,155 St (C),1645.0
